anime_title,anime_original_title,anime_type,anime_release_year,anime_episode_count,anime_status,anime_studio,anime_synopsis,anime_poster_image_url,anime_banner_image_url,anime_rating_avg,anime_rating_count,anime_favorite_count,manga_title,manga_original_title,manga_author,manga_illustrator,manga_publisher,manga_status,manga_description,manga_cover_image_url,manga_banner_image_url,manga_rating_avg,manga_rating_count,manga_favorite_count,genres,studio_tag,anime_season_label,anime_episode_from,anime_episode_to,manga_volume_from,manga_volume_to,manga_chapter_from,manga_chapter_to,continue_volume,continue_chapter,mapping_text,mapping_description,source_note
Magi: The Labyrinth of Magic,マギ The labyrinth of magic,TVA,2012,25,COMPLETED,A-1 Pictures,"This story is about the flow of fate and the battle to keep the world on the right path. Aladdin is a boy who has set out to explore the world after being trapped in a room for most of his life. His best friend is a flute with a djinn in it named Ugo. Soon enough, Aladdin discovers he is a Magi, a magician who chooses kings, and he was born to choose kings who will follow the righteous path, battling against those who want to destroy fate. Follow his adventures as he meets others from 1001 Arabian Nights, like Ali Baba and Sinbad, and fights to keep the balance of the world in check!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx14513-HuUdrFFYftA7.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/14513-DDBxCumOyPIa.jpg,3.9,,,,,,,,,,,,,,,Action;Adventure;Fantasy,A-1 Pictures,,,,,,,,,,,,
Dragon Ball,ドラゴンボール,TVA,1986,153,COMPLETED,Toei Animation,"Goku Son is a young boy who lives in the woods all alone—that is until a girl named Bulma runs into him in her search for a set of magical objects called the ""Dragon Balls."" Since the artifacts are said to grant one wish to whoever collects all seven, Bulma hopes to gather them and wish for a perfect boyfriend. Goku happens to be in possession of a dragon ball, but unfortunately for Bulma, he refuses to part ways with it, so she makes him a deal: he can tag along on her journey if he lets her borrow the dragon ball's power. With that, the two set off on the journey of a lifetime.



They don't go on the journey alone. On the way, they meet the old Muten-Roshi and wannabe disciple Kuririn, with whom Goku trains to become a stronger martial artist for the upcoming World Martial Arts Tournament. However, it's not all fun and games; the ability to make any wish come true is a powerful one, and there are others who would do much worse than just wishing for a boyfriend. To stop those who would try to abuse the legendary power, they train to become stronger fighters, using their newfound strength to help the people around them along the way.



(Source: MAL Rewrite)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx223-scE5uJfXqqj8.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/223-vyRuUBBYfcUb.jpg,3.9,,,,,,,,,,,,,,,Action;Adventure;Comedy;Fantasy;Sci-Fi;Supernatural,Toei Animation,,,,,,,,,,,,
Grand Blue Dreaming,ぐらんぶる,TVA,2018,12,COMPLETED,Zero-G,"A new life begins for Kitahara Iori as he begins his college career near the ocean in Izu city, full of excitement for his new life. He will be moving into his Uncle's diving store ""Grand Blue."" There he finds the beautiful ocean, beautiful women, and men that love diving and alcohol. Will Iori be able to live his dream college life?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx100922-uxEhaCsqMMp3.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/100922-ef1bBJCUCfxk.jpg,4.1,,,,,,,,,,,,,,,Comedy;Slice of Life;Sports,Zero-G,,,,,,,,,,,,
Blood Blockade Battlefront,血界戦線,TVA,2015,12,COMPLETED,bones,"A breach between Earth and the netherworlds has opened up over the city of New York, trapping New Yorkers and creatures from other dimensions in an impenetrable bubble. They've lived together for years, in a world of crazy crime sci-fi sensibilities. Now someone is threatening to sever the bubble, and a group of stylish superhumans is working to keep it from happening.



(Source: Anime News Network)



Note: The last episode aired with a runtime of ~46 minutes as opposed to the standard 24 minute long episode.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20727-jgVnxLCHAKqZ.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20727-jcGXKLo3lLDP.jpg,3.7,,,,,,,,,,,,,,,Action;Comedy;Supernatural,bones,,,,,,,,,,,,
Food Wars! The Third Plate,食戟のソーマ 餐ノ皿,TVA,2017,12,COMPLETED,J.C.STAFF,"The third season of Shokugeki no Souma.



At the Moon Festival, Totsuki Academy’s annual gourmet jubilee, students wage fierce culinary war as they try to out-earn their peers by selling the most of their chosen cuisine. Souma Yukihira, however, has his sights set on a grander prize: challenging the Elite Ten, who rule over the academy with iron fists. But Souma might have to put his grand ambitions on hold for the time being, because an insidious scheme to upset the balance of Totsuki Academy has begun to emerge from the shadows…



(Source: Sentai Filmworks)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx99255-heGTtj5b4owl.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/99255-FcvNIg6FLK4o.jpg,3.9,,,,,,,,,,,,,,,Comedy;Ecchi,J.C.STAFF,,,,,,,,,,,,
The Quintessential Quintuplets 2,五等分の花嫁∬,TVA,2021,12,COMPLETED,Bibury Animation Studios,"Through their tutor Fuutarou Uesugi's diligent guidance, the Nakano quintuplets' academic performance shows signs of improvement, even if their path to graduation is still rocky. However, as they continue to cause various situations that delay any actual tutoring, Fuutarou becomes increasingly involved with their personal lives, further complicating their relationship with each other.



On another note, Fuutarou slowly begins to realize the existence of a possible connection between him and the past he believes to have shared with one of the five girls. With everyone's feelings beginning to develop and overlap, will they be able to keep their bond strictly to that of a teacher and his students—or will it mature into something else entirely?



(Source: MAL Rewrite)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx109261-65rKxMDlcU9r.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/109261-UfxQjnmmfAOp.jpg,4.0,,,,,,,,,,,,,,,Comedy;Drama;Romance;Slice of Life,Bibury Animation Studios,,,,,,,,,,,,
Boruto: Naruto Next Generations,BORUTO-ボルト- NARUTO NEXT GENERATIONS,TVA,2017,293,COMPLETED,Studio Pierrot,"Naruto was a young shinobi with an incorrigible knack for mischief. He achieved his dream to become the greatest ninja in the village and his face sits atop the Hokage monument. But this is not his story... A new generation of ninja are ready to take the stage, led by Naruto's own son, Boruto!



(Source: VIZ Media)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx97938-BnF6M5yTaNB1.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/97938-cT6wkSRifTEC.jpg,2.9,,,,,,,,,,,,,,,Action;Adventure;Fantasy,Studio Pierrot,,,,,,,,,,,,
Monthly Girls' Nozaki-kun,月刊少女野崎くん,TVA,2014,12,COMPLETED,Doga Kobo,"You know how the story goes: girl crushes on guy, girl confesses feelings to guy, guy mistakes confession for a job application. Okay, maybe that's not how it usually goes, but that's what happens when Chiyo Sakura finally gets up the nerve to tell her classroom crush Nozaki how she feels. Since she doesn't know that he's secretly a manga artist who publishes under a female pen name, and he doesn't know that she doesn't know, he misunderstands and offers her a chance to work as his assistant instead of a date! But while it's not flowers and dancing, it is a chance to get closer to him, so Chiyo gamely accepts. And when Nozaki realizes how useful Chiyo can be in figuring out what girls find romantic, he'll be spending even more time with her ""researching"" while remaining completely clueless. Could Chiyo's romantic frustration possibly get any more drawn out of proportion?



(Source: Sentai Filmworks)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20668-6UslJY5NDYNh.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20668-hmoK9pH09pWT.jpg,3.9,,,,,,,,,,,,,,,Comedy;Romance;Slice of Life,Doga Kobo,,,,,,,,,,,,
Ranking of Kings,王様ランキング,TVA,2021,23,COMPLETED,WIT STUDIO,"Unable to hear, speak, or wield a sword, Prince Bojji doesn’t seem like a typical heir to the throne—and his kingdom agrees. But his fateful encounter with Kage, a shadow on the ground, gives him his first true friend. The two set off on a grand adventure and, together, form a bond that can overcome any obstacle...even being king.



(Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx113717-9sNnN8WRgK15.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/113717-XFiGSPtNJQWv.jpg,4.2,,,,,,,,,,,,,,,Action;Adventure;Drama;Fantasy,WIT STUDIO,,,,,,,,,,,,
Domestic Girlfriend,ドメスティックな彼女,TVA,2019,12,COMPLETED,diomedéa,"Natsuo Fuji has a serious crush on one of his teachers, Hina Tachibana, but since he knows he has zero chance of ever being in a relationship with her, he lets his friends talk him into going to a party where he meets Rui. One thing leads to another and then, well, neither of them is a virgin anymore. Unfortunately, it wasn't what they expected, but that's fine. They're just ships passing in the night and they'll never have to see each other again, right? Except when Natsuo's father announces that he's getting married again, Natsuo discovers that he's getting two new step-sisters as well. Now there's a problem, because one is his teacher, Hina, and the other is Rui.



(Source: Sentai Filmworks)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/nx103139-2TfvRyGTE1qp.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n103139-SYU7CHGiubmn.jpg,3.2,,,,,,,,,,,,,,,Drama;Ecchi;Romance,diomedéa,,,,,,,,,,,,
Summer Time Rendering,サマータイムレンダ,TVA,2022,25,COMPLETED,OLM,"A sci-fi, summer story filled with suspense set on a small island with Shinpei Aijiro, whose childhood friend Ushio Kofune died. He returns to his hometown for the first time in two years for the funeral. Sou Hishigata, his best friend, suspects something's off with Ushio's death, and that someone can die next. 



A sinister omen is heard as an entire family next door suddenly disappears the following day. Furthermore, Mio implicates a ""shadow"" three days before Ushio's death. 



(Source: Disney+)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx129201-HJBauga2be8I.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/129201-eeCsKFrCSQPS.jpg,4.2,,,,,,,,,,,,,,,Action;Drama;Mystery;Supernatural;Thriller,OLM,,,,,,,,,,,,
Delicious in Dungeon,ダンジョン飯,TVA,2024,24,COMPLETED,TRIGGER,"When young adventurer Laios and his company are attacked and soundly thrashed by a dragon deep in a dungeon, the party loses all its money and provisions...and a member! They're eager to go back and save her, but there is just one problem: If they set out with no food or coin to speak of, they're sure to starve on the way! But Laios comes up with a brilliant idea: ""Let's eat the monsters!"" Slimes, basilisks, and even dragons...none are safe from the appetites of these dungeon-crawling gourmands! 



(Source: Yen Press)



Note: A world premiere screening of Episode 1 was shown in the Studio TRIGGER panel at Anime Expo on July 1, 2023.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx153518-IVXPDY5ph3kO.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/153518-7uRvV7SLqmHV.jpg,4.2,,,,,,,,,,,,,,,Adventure;Comedy;Fantasy,TRIGGER,,,,,,,,,,,,
Yona of the Dawn,暁のヨナ,TVA,2014,24,COMPLETED,Studio Pierrot,"Since Yona is the only princess of a grand kingdom, she has been raised with great care by her doting father and protected by her childhood friend/guard Hak and others. However, her fate changes on her 16th birthday, when her beloved cousin Soo-won murders her father to claim the throne. She flees the castle to Hak's hometown and begins her new life.



(Source: Anime News Network)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20770-brCDvhTXlums.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20770-tZZMsglzAUAe.jpg,4.0,,,,,,,,,,,,,,,Action;Adventure;Comedy;Drama;Fantasy;Romance,Studio Pierrot,,,,,,,,,,,,
DAN DA DAN Season 2,ダンダダン 第2期,TVA,2025,12,COMPLETED,Science SARU,"While the mission to exorcise Jin ""Jiji"" Enjouji's family home is underway, things are not going as expected. Momo Ayase narrowly evades an attempted abduction while Ken ""Okarun"" Takakura and Jiji are ambushed by the Kitou family—the unsettling landlords of the cursed estate. The trio's efforts threaten the foundation of this enigmatic town shrouded in legends and mysteries.



As Momo, Okarun, and Jiji are drawn deeper into the maze of folklore and supernatural entities, they must each utilize their unique powers if they want to survive and unravel the secrets of the uncanny town.



(Source: MAL Rewrite)



Note: Worldwide premiere of Episodes 1-3 titled as DAN DA DAN: EVIL EYE before the Japanese premiere was pre-screened in advance in theaters on June 6, 2025 in North America by GKIDS Films and June 7 and 8 in Europe by Piece of Magic Entertainment and Animation Digital Network.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx185660-uB8RUMBGovGr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/185660-NdXFgzcYmcDz.jpg,4.2,,,,,,,,,,,,,,,Action;Comedy;Drama;Romance;Sci-Fi;Supernatural,Science SARU,,,,,,,,,,,,
Dragon Ball Super,ドラゴンボール超,TVA,2015,131,COMPLETED,Toei Animation,"After 18 years, we have the newest Dragon Ball story from creator Akira Toriyama. With Majin Buu defeated, Goku has taken a completely new role as...a radish farmer?! With Earth at peace, our heroes have settled into normal lives. But they can’t get too comfortable. Far away, the powerful God of Destruction, Beerus, awakens to a prophecy revealing his demise at the hands of an even more formidable being. When his search for the Saiyan God brings him to Earth, can Goku and his friends take on their strongest foe yet?



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21175-EH06qlfF8TnB.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21175-bXEDZ4sk6jTJ.png,3.6,,,,,,,,,,,,,,,Action;Adventure;Comedy;Fantasy;Sci-Fi,Toei Animation,,,,,,,,,,,,
March comes in like a lion,３月のライオン,TVA,2016,22,COMPLETED,Shaft,"Rei Kiriyama is a 17 year old boy who recently started living alone, financed by his salary as a professional Shogi player. Despite his independence, however, he's yet to mature emotionally, and his problems continue to haunt him in his daily life. His relationship with his adoptive family is strained, and he has difficulties interacting with his fellow high school students.



Meanwhile, his professional career in Shogi has entered a slump. Burdened with the heavy expectations placed upon him, his wins and losses are fluctuating as his record and progression into the ranks begin to stagnate.



Acquainted with Rei are the three Kawamoto sisters: Akari, Hinata, and Momo. Unlike Rei, they live happily in their modest home, which they warmly welcome Rei into as if he were one of their own.  He frequently visits the family, interacting with them and receiving the kind of care and affection he never quite had while under his foster home.

This is the story of Rei's triumphs and failures, relationships new and old, and his growth as a person.



(Source: TV Tropes)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx21366-0wrYK0kjKeFn.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/21366-oIjFSx0sm2eG.jpg,4.2,,,,,,,,,,,,,,,Drama;Slice of Life,Shaft,,,,,,,,,,,,
Shikimori's Not Just a Cutie,可愛いだけじゃない式守さん,TVA,2022,12,COMPLETED,Doga Kobo,"The ultimate ""heartthrob girlfriend"" appears! Naturally unlucky high school student Izumi's girlfriend is his classmate Shikimori. She has a beautiful smile and kind personality and always seems happy when she's with Izumi. She's a pretty, cute, and loving girlfriend, but when Izumi's in trouble… she transforms into a super cool ""heartthrob girlfriend!"" The fun lives of the cute and cool Shikimori, Izumi, and their good friends never end!



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx127911-qfJDzUt0qCna.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/127911-YRSP7vuUy801.jpg,3.4,,,,,,,,,,,,,,,Comedy;Romance;Slice of Life,Doga Kobo,,,,,,,,,,,,
given,ギヴン,TVA,2019,11,COMPLETED,Lerche,"Tightly clutching his Gibson guitar, Mafuyu Satou steps out of his dark apartment to begin another day of his high school life. While taking a nap in a quiet spot on the gymnasium staircase, he has a chance encounter with fellow student Ritsuka Uenoyama, who berates him for letting his guitar's strings rust and break. Noticing Uenoyama's knowledge of the instrument, Satou pleads for him to fix it and to teach him how to play. Uenoyama eventually agrees and invites him to sit in on a jam session with his two band mates: bassist Haruki Nakayama and drummer Akihiko Kaji.



Satou's voice is strikingly beautiful, filling Uenoyama with the determination to make Satou the lead singer of the band. Though reticent at first, Satou takes the offer after an emotional meeting with an old friend. With the support of his new friends, Satou must not only learn how to play guitar, but also come to terms with the mysterious circumstances that led him to be its owner.



(Source: MAL Rewrite)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx108430-UdruJPro4vDK.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/108430-L8rZPUpXjDzv.jpg,4.2,,,,,,,,,,,,,,,Drama;Music;Romance;Slice of Life,Lerche,,,,,,,,,,,,
Tengoku Daimakyo,天国大魔境,TVA,2023,13,COMPLETED,Production I.G,"In the year 2024, the world has collapsed. Grotesque monsters lurk amongst the ruins of Japan, while remaining people scrape together what they can to survive. Kiruko, an odd-job girl in Nakano, accepts a mysterious woman's dying wish to take a boy named Maru to a place called Heaven.



(Source: Disney+, edited)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx155783-YosKbsmZzuDE.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/155783-MXHfdquIBoHA.jpg,4.0,,,,,,,,,,,,,,,Adventure;Mystery;Sci-Fi;Thriller,Production I.G,,,,,,,,,,,,
The Case Study of Vanitas,ヴァニタスの手記,TVA,2021,12,COMPLETED,bones,"It’s 19th-century Paris, and young vampire Noé hunts for the Book of Vanitas. Attacked by a vampire driven insane, a human intercedes, rescues Noé, and heals the sick creature. Commanding the book and calling himself Vanitas, this doctor tempts Noé with a mad crusade to “cure” the entire vampire race. Allying with one who wields arcane power so easily may be dangerous, but does he have a choice?



(Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx131646-cuyGfKcekZ62.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/131646-ewbYrSfyUyp6.jpg,3.9,,,,,,,,,,,,,,,Action;Drama;Fantasy;Mystery;Supernatural,bones,,,,,,,,,,,,
Frieren: Beyond Journey’s End Season 2,葬送のフリーレン 第2期,TVA,2026,10,COMPLETED,MADHOUSE,The second season of Sousou no Frieren.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx182255-butzrqd4I0aC.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/182255-wyHvp6zJbWsO.jpg,4.4,,,,,,,,,,,,,,,Adventure;Drama;Fantasy,MADHOUSE,,,,,,,,,,,,
NANA,NANA-ナナ-,TVA,2006,47,COMPLETED,MADHOUSE,"Two twenty-somethings seemingly share nothing in common apart from their first name, but a chance meeting on a train bound for Tokyo sets Nana Komatsu and Nana Oosaki on a collision course with destiny. Nana Komatsu, a love-at-first-sight dreamer, aims to find enduring happiness in the big city. Nana Oosaki, neo punk rock vocalist, pursues her burning ambitions of musical stardom and worldwide fame. As their fates increasingly intertwine, they each chase their dreams — until the harsh realities of life in big city Tokyo threaten to tear everything apart.



(Source: Sentai Filmworks)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx877-6BUYEWp8By8j.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/877-5yVMHXHApFzf.jpg,4.2,,,,,,,,,,,,,,,Drama;Music;Romance;Slice of Life,MADHOUSE,,,,,,,,,,,,
Cells at Work!,はたらく細胞,TVA,2018,13,COMPLETED,david production,"The average human body contains about 60 trillion cells, and each of them has work to do! But when you get injured, viruses or bacteria invade, or when an allergic reaction flares up, everyone from the silent but deadly white blood cells to the brainy neurons has to work together to get through the crisis!



(Source: Kodansha US)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx100977-nH1J2dR7GGAk.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n100977-IztHpiaTckCh.jpg,3.7,,,,,,,,,,,,,,,Action;Comedy;Sci-Fi,david production,,,,,,,,,,,,
The Seven Deadly Sins: Imperial Wrath of the Gods,七つの大罪 神々の逆鱗,TVA,2019,24,COMPLETED,Studio DEEN,"Despite repelling the demon invasion of the Kingdom of Lioness, the war is far from over, for Arthur's Kingdom of Camelot is still being occupied by the demon army and the surviving members of Jikkai. However, in order to begin counter-offensive, the Seven Deadly Sins needs all of its members. Unfortunately, King and Diane are still hiding in the Fairy King's Forest, where they are made to discover the strange history of Jikkai.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx108928-DuyUzi0JyPIr.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/108928-QzElQ1VVSFoC.jpg,3.1,,,,,,,,,,,,,,,Action;Adventure;Comedy;Ecchi;Fantasy;Supernatural,Studio DEEN,,,,,,,,,,,,
BLEACH: Thousand-Year Blood War,BLEACH 千年血戦篇,TVA,2022,13,COMPLETED,Studio Pierrot,"Was it all just a coincidence, or was it inevitable?



Ichigo Kurosaki gained the powers of a Soul Reaper through a chance encounter. As a Substitute
Soul Reaper, Ichigo became caught in the turmoil of the Soul Society, a place where deceased
souls gather. But with help from his friends, Ichigo overcame every challenge to become even
stronger.



When new Soul Reapers and a new enemy appear in his hometown of Karakura, Ichigo jumps
back into the battlefield with his Zanpakuto to help those in need. Meanwhile, the Soul Society
is observing a sudden surge in the number of Hollows being destroyed in the World of the Living.
They also receive separate reports of residents in the Rukon District having gone missing. Finally,
the Seireitei, home of the Soul Reapers, comes under attack by a group calling themselves the
Wandenreich.



Led by Yhwach, the father of all Quincies, the Wandenreich declare war against the Soul Reapers
with the following message: ""Five days from now, the Soul Society will be annihilated by the
Wandenreich.""



The history and truth kept hidden by the Soul Reapers for a thousand long years is finally brought
to light.



All things must come to an end as Ichigo Kurosaki's final battle begins!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx116674-p3zK4PUX2Aag.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/116674-l2YlIyJzvGSV.jpg,4.4,,,,,,,,,,,,,,,Action;Adventure;Supernatural,Studio Pierrot,,,,,,,,,,,,
Bungo Stray Dogs 3,文豪ストレイドッグス 第3シーズン,TVA,2019,12,COMPLETED,bones,"The third season of Bungou Stray Dogs.



The White Tiger and the Black Beast – Nakajima Atsushi and Akutagawa Ryunosuke’s fight against Francis F. brings an end to the great war against the Guild. Life goes on as normal in Yokohama, thanks to the continued truce between the Armed Detective Agency and the Port Mafia, who, together, saved the city from ruin. But there are still rumors of Guild stragglers and other crime organizations making their way in from abroad. Meanwhile, Dazai Osamu had premonitions of another impending disaster. Lurking in the darkness is the Fyodor D., leader of pirate organization Rats in the House of the Dead, his dreadful plans on the verge of execution.



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx103223-bfdnnKWxE4YE.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/103223-noS5nsDOI1Qu.jpg,4.0,,,,,,,,,,,,,,,Action;Comedy;Mystery;Supernatural,bones,,,,,,,,,,,,
Dr. STONE New World,Dr.STONE NEW WORLD,TVA,2023,11,COMPLETED,TMS Entertainment,"The third season of Dr. STONE. 



Senkuu and the Kingdom of Science sail to new lands to uncover more scientific secrets! 


(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx131518-RU7RoUmGb2sP.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/131518-uENBDjWnMHmN.jpg,4.0,,,,,,,,,,,,,,,Action;Adventure;Comedy;Sci-Fi,TMS Entertainment,,,,,,,,,,,,
Seraph of the End: Battle in Nagoya,終わりのセラフ　名古屋決戦編,TVA,2015,12,COMPLETED,WIT STUDIO,"Yuuichirou has reunited with Mikaela at the Shinjuku Battle. But Mikaela was turned into a vampire... To save the ""family,"" and to protect his fellow members, Yuuichirou needed to gain knowledge and power. He searched for ways to bring back vampire to human beings, and at the same time, trained hard working on the Cursed Gear. 



Meanwhile, Kureto calls Guren and tells him a shocking truth. That in one month, the main unit of the vampire will start attacking Tokyo. To get a head start against vampires, Kureto orders Guren to go to Nagoya. The noble extermination mission is about to open fire!



(Source: Official website)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20993-c34UTma2bCcv.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20993-pZacVGnE1F2L.jpg,3.8,,,,,,,,,,,,,,,Action;Drama;Fantasy;Supernatural,WIT STUDIO,,,,,,,,,,,,
My Love Story with Yamada-kun at Lv999,山田くんとLv999の恋をする,TVA,2023,13,COMPLETED,MADHOUSE,"Akane Kinoshita, a female college student, faces the absolute worst situation when she ends up breaking up with her boyfriend after he has an affair with a woman he met playing an online game. While relieving her stress by rampaging through the open hunting grounds of an online game, Akane spills everything about her heartbreak to “Yamada”, a player she met by chance who happens to be in the same guild. “I don't care,” is his curt reply. But when Akane gets a makeover and joins an offline event to get back at her ex-boyfriend, she hears those dreadful words again. And that was Akane's fateful encounter with “Yamada”─！



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx154965-vZbBRjtmLp7S.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/154965-9AwJG3nVokqG.jpg,3.9,,,,,,,,,,,,,,,Comedy;Drama;Romance,MADHOUSE,,,,,,,,,,,,
TRINITY SEVEN,トリニティセブン,TVA,2014,12,COMPLETED,Seven Arcs,"Pride, Envy, Wrath, Sloth, Greed, Gluttony, Lust. These are the seven sins laid upon seven girls who rule over Biblia Academy. 



To retake his world, the boy decides he must control these sins... The boy, Arata Kasuga, has had the world he knows hit by a mysterious phenomenon ""Collapse Phenomenon"", and his cousin Hijiri disappears into another dimension. To understand the Collapse Phenomenon and win back his cousin, he comes to Biblia Academy. There he finds the seven girls and their sins.



(Source: Crunchyroll)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx20631-LdCiy3goitcT.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/20631-JsRVj8iDf21B.jpg,3.4,,,,,,,,,,,,,,,Action;Comedy;Ecchi;Fantasy;Romance,Seven Arcs,,,,,,,,,,,,
Daily Lives of High School Boys,男子高校生の日常,TVA,2012,12,COMPLETED,Sunrise,"Tadakuni, Hidenori, and Yoshitake are students at the all-boys academy, Sanada North High School. This is a tale about just that—their daily lives as students. Winning the basketball tournament? Finding true love? You won't find any of that here. Whether it's sparking random arguments while hanging out with friends, meeting that one weird co-worker at a part-time job, or even letting imaginations run wild on a windy afternoon, we've all experienced the show's ordinary but true-to-life themes at one point or another. 


(Source: NIS America)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx11843-ui2jBcuQUqnl.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/11843-2GxMdvjHLn6v.jpg,4.0,,,,,,,,,,,,,,,Comedy;Slice of Life,Sunrise,,,,,,,,,,,,
MUSHI-SHI,蟲師,TVA,2005,26,COMPLETED,Artland,"Neither good nor evil, they are life in its purest form. Vulgar and strange, they have inspired fear in humans since the dawn of time and have, over the ages, come to be known as ""mushi."" The stories of the Mushi and the people they affect are all linked together by a traveling Mushi-shi, or ""Mushi Master,"" who seeks rare Mushi sightings and uses his shaman-like knowledge of Mushi to help the affected people.



What are the Mushi and what do they want?



(Source: Funimation)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx457-l6cTtNgI9Bi6.png,https://s4.anilist.co/file/anilistcdn/media/anime/banner/n457-sWOJfqYC7s2I.jpg,4.2,,,,,,,,,,,,,,,Adventure;Fantasy;Mystery;Psychological;Slice of Life;Supernatural,Artland,,,,,,,,,,,,
The Fragrant Flower Blooms With Dignity,薫る花は凛と咲く,TVA,2025,13,COMPLETED,CloverWorks,"Chidori High is a boys’ school that takes in the dregs of society with the lowest grades. Next door stands Kikyo Girls’ High, where the wealthy, high-class families send their precious daughters. Chidori second-year Rintarou, who has a fierce face but a gentle heart, is helping at his family’s patisserie when he meets a girl named Kaoruko. The two hit it off right away…but this blissful peace is quickly disturbed when Rintarou discovers that Kaoruko is actually a student at Kikyo. Worse, she doesn’t seem to realize what a huge problem this really is! Will these two be able to forge a path for themselves, and sidestep the traps (metaphorical and literal) laid by their classmates?



(Source: Kodansha USA)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/large/bx181444-Ut9DDUZdfHwg.jpg,https://s4.anilist.co/file/anilistcdn/media/anime/banner/181444-SBhwJNPxjHrr.jpg,4.2,,,,,,,,,,,,,,,Comedy;Drama;Romance,CloverWorks,,,,,,,,,,,,
